words,labels,entities,term_list
"['Deuxiéme', 'partie', ':', 'Modélisation']","['O', 'O', 'O', 'O']",set(),[]
"['Chapitre', '4', ':', 'Modélisation', 'du', 'réseau', '...............................................................................................', '69', 'I', ')', 'II', ')', 'a.', 'b.', 'c.', 'd', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 5)}",['réseau']
"['III', ')', 'a.', 'b', '.']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['Introduction', '......................................................................................................................', '69', 'Modélisation', 'sous', 'simulink...........................................................................................69', 'Modélisation', 'du', 'jeu', 'de', 'barre........................................................................................71', 'Modélisation', 'de', 'la', 'charge', '.............................................................................................', '71', 'Modélisation', ""d'"", 'une', 'source', 'classique', '............................................................................', '71', 'Simulation', 'du', 'modèle', 'dans', 'un', 'réseau', 'alimentant', 'des', 'charges', 'passives', '.....................', '73', 'Modélisation', 'sous', 'EUROSTAG', '...................................................................................', '75', 'Généralité', '......................................................................................................................', '75', 'Réseaux', 'carrés', '..............................................................................................................', '77']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O']","{('Term', 38, 38), ('Term', 5, 5), ('Term', 8, 10), ('Term', 29, 29), ('Term', 32, 33), ('Term', 44, 45), ('Term', 14, 14)}","['EUROSTAG', 'simulink...........................................................................................69', 'jeu de barre........................................................................................71', 'réseau', 'charges passives', 'Réseaux carrés', 'charge']"
"['Chapitre', '5', ':', 'Modélisation', 'du', 'générateur', 'éolien..............................................................................79', 'I', ')', 'II', ')', 'a.', 'b.', 'c.', 'd', '.']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 6)}",['générateur éolien..............................................................................79']
"['Introduction', '......................................................................................................................', '79', 'Modélisation', 'de', 'la', 'turbine', ',', 'du', 'générateur', 'et', 'du', 'convertisseur', 'associé', '......................', '80', 'Modélisation', 'de', 'la', 'turbine............................................................................................80', 'Modélisation', 'de', ""l'"", 'arbre', 'de', 'la', 'machine', '.........................................................................', '83', 'Modélisation', 'de', 'la', 'machine', 'synchrone', '........................................................................', '84', 'Détermination', 'de', 'la', 'structure', 'de', 'commande', 'maximale..............................................85', '4']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 26, 26), ('Term', 6, 6), ('Term', 19, 19), ('Term', 9, 9), ('Term', 23, 23), ('Term', 32, 33), ('Term', 12, 12)}","['machine', 'turbine', 'turbine............................................................................................80', 'générateur', 'arbre', 'machine synchrone', 'convertisseur']"
"['III', ')', 'a', '.']","['O', 'O', 'O', 'O']",set(),[]
"['IV', ')', 'V', ')', 'a', '.']","['O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Modélisation', 'côté', 'réseau', '..............................................................................................', '85', 'Connexion', 'du', 'générateur', 'sur', 'le', 'réseau', '.......................................................................', '86', 'Stratégie', 'de', 'maximisation', 'de', 'la', 'puissance', '..................................................................', '90', 'Implantation', 'du', 'modèle', 'sous', 'EUROSTAG', '.................................................................', '95', 'Simplification', 'du', 'modèle', '..............................................................................................', '97']","['O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 2, 2), ('Term', 18, 18), ('Term', 7, 7), ('Term', 21, 21), ('Term', 25, 25)}","['réseau', 'réseau', 'puissance', 'générateur', 'Implantation', 'EUROSTAG']"
"['Chapitre', '6', ':', 'Présentation', 'du', 'banc', ""d'"", 'essais', '...................................................................................', '103', 'I', ')', 'II', ')', 'a.', 'b.', 'c', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['III', ')', 'a.', 'b.', 'c', '.']","['O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['IV', ')', 'a.', 'b', '.']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['V', ')', 'Introduction', '....................................................................................................................', '103', 'Présentation', 'de', 'la', 'plate', 'forme', ""d'"", 'essais', '......................................................................', '104', ""L'"", 'Emulateur', 'Turbine', 'Eolienne', '.................................................................................', '104', 'La', 'Machine', 'Synchrone', 'à', 'Aimants', 'Permanents', ':', 'MSAP', '..........................................', '105', 'La', 'connexion', 'au', 'réseau', ':', 'CAR', '..................................................................................', '105', ""L'"", 'émulateur', 'éolien', '.....................................................................................................', '105', 'Modèle', '........................................................................................................................', '105', 'Commande', '..................................................................................................................', '106', 'Résultats', 'expérimentaux', '............................................................................................', '107', 'La', 'machine', 'synchrone', 'à', 'aimant', 'permanent', '.............................................................', '108', 'Modèle', '........................................................................................................................', '108', 'Commande', '..................................................................................................................', '109', 'Essais', 'expérimentaux', 'de', 'la', 'stratégie', 'MPPT', '.............................................................', '110']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 72, 72), ('Term', 27, 27), ('Term', 35, 35), ('Term', 31, 33), ('Term', 21, 25), ('Term', 54, 58), ('Term', 15, 17), ('Term', 40, 40)}","['MPPT', 'MSAP', 'CAR', 'connexion au réseau', 'Machine Synchrone à Aimants Permanents', 'machine synchrone à aimant permanent', 'Emulateur Turbine Eolienne', 'éolien']"
"['Troisiéme', 'partie', ':', 'Capacité', 'des', 'générateurs', 'éoliens', 'à', 'participer', 'aux', 'réglages', 'de', 'fréquence']","['O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term']","{('Term', 10, 12), ('Term', 5, 6)}","['réglages de fréquence', 'générateurs éoliens']"
"['Chapitre', '7', ':', 'Présentation', 'des', 'stratégies', 'de', 'commande', '................................................................', '121', 'I', ')', 'II', ')', 'a.', 'b.', 'c', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['III', ')', 'a', '.']","['O', 'O', 'O', 'O']",set(),[]
"['IV', ')', 'a', '.']","['O', 'O', 'O', 'O']",set(),[]
"['Introduction', '....................................................................................................................', '121', 'Etat', 'de', ""l'"", 'art', ':', 'réglage', 'fréquence-puissance', 'des', 'générateurs', 'éoliens', '........................', '121', 'Le', 'cas', 'Irlandais', '..........................................................................................................', '122', 'Le', 'cas', 'Dannois', '............................................................................................................', '124', 'Etat', 'de', ""l'"", 'art', 'des', 'stratégies', 'de', 'contrôle', '......................................................................', '127', 'Stratégie', 'de', 'commande', 'en', 'couple', '..............................................................................', '129', 'Stratégie', 'de', 'commande', '..............................................................................................', '130', 'Stratégie', 'multivariables', 'basée', 'sur', 'la', 'logique', 'floue', '...................................................', '134', 'Stratégie', 'de', 'commande', '..............................................................................................', '134', '5']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 47, 53), ('Term', 11, 12), ('Term', 37, 39), ('Term', 8, 9)}","['Stratégie multivariables basée sur la logique floue', 'générateurs éoliens', 'commande en couple', 'réglage fréquence-puissance']"
"['b.', 'c.', 'd.', 'f', '.']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['V', ')']","['O', 'O']",set(),[]
"['Correcteur', 'flou', '...........................................................................................................', '138', 'Supervision', 'de', ""l'"", 'angle', 'de', 'calage', '.................................................................................', '139', 'Supervision', 'de', 'la', 'puissance', 'de', 'référence', '...................................................................', '142', 'Comparaison', 'des', 'stratégies', 'de', 'commande', '................................................................', '151', 'Conclusion', '...................................................................................................................', '152']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 7, 9), ('Term', 15, 15)}","['angle de calage', 'puissance']"
"['Chapitre', '8', ':', 'Validation', 'expérimentale', '..........................................................................................', '153', 'I', ')', 'II', ')', 'a.', 'b.', 'c.', 'd', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['III', ')', 'a.', 'b.', 'c.', 'd', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['IV', ')', 'Introduction', '....................................................................................................................', '153', 'Stratégie', 'de', 'commande', 'en', 'couple', '..............................................................................', '153', 'Essais', 'expérimentaux', 'à', 'vent', 'moyen', 'sans', 'variation', 'de', 'la', 'fréquence', '.........................', '154', 'Essais', 'expérimentaux', 'à', 'vent', 'moyen', 'avec', 'variation', 'fictif', 'de', 'la', 'fréquence', '................', '155', 'Essais', 'expérimentaux', 'à', 'vent', 'fort', 'sans', 'variation', 'de', 'la', 'fréquence..............................156', 'Essais', 'expérimentaux', 'à', 'vent', 'fort', 'avec', 'variation', 'de', 'la', 'fréquence..............................157', 'Stratégie', 'de', 'commande', 'multivariables', '......................................................................', '158', 'Implantation', 'sur', 'le', 'banc', ""d'"", 'essais', '...............................................................................', '158', 'Essais', 'expérimentaux..................................................................................................160', 'Comparaison', 'des', 'puissances', 'générées', 'sous', 'différentes', 'conditions', 'de', 'vent', '..............', '168', 'Influence', 'de', 'la', 'dynamique', 'du', 'système', ""d'"", 'orientation', 'des', 'pales.................................169', 'Conclusion', '...................................................................................................................', '170']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'B-Term', 'I-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O']","{('Term', 34, 34), ('Term', 50, 50), ('Term', 57, 60), ('Term', 7, 9), ('Term', 27, 27), ('Term', 15, 15), ('Term', 21, 21), ('Term', 63, 63), ('Term', 81, 81), ('Term', 87, 87), ('Term', 89, 93), ('Term', 46, 46), ('Term', 75, 76), ('Term', 40, 40), ('Term', 56, 56)}","['fréquence', 'vent', 'Stratégie de commande multivariables', 'commande en couple', 'vent', 'vent', 'fréquence', 'Implantation', 'vent', 'dynamique', ""système d' orientation des pales.................................169"", 'fréquence..............................156', 'puissances générées', 'vent', 'fréquence..............................157']"
"['Chapitre', '9', ':', 'Participation', 'au', 'réglage', 'primaire', 'et', 'secondaire', 'de', 'fréquence', '................................', '171', 'I', ')', 'II', ')', 'III', ')', 'IV', ')', 'Introduction', '....................................................................................................................', '171', 'Implantation', 'de', 'la', 'stratégie', 'de', 'commande', 'multivariables', 'sur', 'EUROSTAG...........171', 'Simulations..................................................................................................................174', 'Conclusion', '...................................................................................................................', '178']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'IN-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 10, 10), ('Term', 27, 30), ('Term', 5, 6), ('Term', 32, 32), ('Term', 8, 8), ('Term', 24, 24)}","['fréquence', 'stratégie de commande multivariables', 'réglage primaire', 'EUROSTAG...........171', 'secondaire', 'Implantation']"
"['Quatriéme', 'partie', ':', 'Supervision', 'de', 'systémes', 'multisources']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['Chapitre', '10', ':', 'Système', 'de', 'stockage', ""d'"", 'énergie', '................................................................................', '183', 'I', ')', 'II', ')', 'a', '.']","['O', 'O', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 3, 7)}","[""Système de stockage d' énergie""]"
"['Introduction', '....................................................................................................................', '183', 'Stockage', 'long', 'terme', '....................................................................................................', '183', 'Stockage', 'par', 'système', 'hydraulique', '.............................................................................', '183']","['O', 'O', 'O', 'B-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 3, 5), ('Term', 11, 11)}","['Stockage long terme', 'hydraulique']"
['6'],['O'],set(),[]
"['b.', 'c.', 'd.', 'e.', 'f', '.']","['O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['III', ')', 'a.', 'b.', 'c.', 'd', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",set(),[]
"['IV', ')', 'V', ')']","['O', 'O', 'O', 'O']",set(),[]
"['Stockage', 'sous', 'forme', ""d'"", 'air', 'comprimé', '(', 'CAES', ',', 'Compressed', 'Air', 'Energy', 'Storage', ')', '...']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O']","{('Term', 9, 12), ('Term', 7, 7)}","['Compressed Air Energy Storage', 'CAES']"
"['185', 'Stockage', 'sous', 'forme', 'chimique', '...................................................................................', '186', 'Stockage', 'sous', 'forme', ""d'"", 'hydrogène', '.............................................................................', '188', 'Stockage', 'sous', 'forme', 'thermique', '.................................................................................', '189', 'Synthèse', '......................................................................................................................', '189', 'Stockage', 'à', 'court', 'terme', '...............................................................................................', '191', 'Volant', ""d'"", 'inertie', '..........................................................................................................', '191', 'Supercapacité', '.............................................................................................................', '192', 'Inductance', 'supraconductrice', '(', 'SMES', 'Superconducting', 'Magnet', 'Energy', 'Storage', ')', '..', '192', 'Synthèse', '......................................................................................................................', '192', 'Utilisation', 'du', 'stockage', '...............................................................................................', '193', 'Modélisation', 'du', 'système', 'de', 'stockage', 'dans', 'le', 'cadre', 'de', ""l'"", 'étude', '.................................', '196']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'B-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 34, 34), ('Term', 29, 31), ('Term', 41, 44), ('Term', 58, 60), ('Term', 23, 26), ('Term', 37, 38), ('Term', 40, 40)}","['Supercapacité', ""Volant d' inertie"", 'Superconducting Magnet Energy Storage', 'système de stockage', 'Stockage à court terme', 'Inductance supraconductrice', 'SMES']"
"['Chapitre', '11', ':', 'Supervision', 'des', 'systèmes', 'multisources', '..................................................................', '200', 'I', ')', 'a.', 'b.', 'c.', 'd.', 'e.', 'f', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 5, 6)}",['systèmes multisources']
"['II', ')', 'a.', 'b', '.']","['O', 'O', 'O', 'O', 'O']",set(),[]
"['III', ')', 'a', '.']","['O', 'O', 'O', 'O']",set(),[]
"['Différentes', 'problématiques', 'pour', 'différentes', 'échelles', 'de', 'temps', '...................................', '201', 'Dimensionnement', '.......................................................................................................', '201', 'Plan', 'pluriannuel', '.........................................................................................................', '202', 'Supervision', 'long', 'terme', '...............................................................................................', '203', 'Supervision', 'moyen', 'terme', '...........................................................................................', '204', 'Supervision', 'temps', 'réel', '...............................................................................................', '204', 'Synthèse', '......................................................................................................................', '205', 'Méthodologie', '..............................................................................................................', '206', 'Exemple', 'de', 'la', 'gestion', 'au', 'niveau', ""d'"", 'un', 'bac', ""d'"", 'eau', '.......................................................', '206', 'Application', 'à', 'un', 'système', 'multisources', '......................................................................', '210', 'Comparaison', 'de', 'différentes', 'topologies', '......................................................................', '233', 'Association', 'générateur', 'éolien', ',', 'source', 'prévisible', ',', 'système', 'de', 'stockage', 'à', 'court', 'terme', 'et']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O']","{('Term', 70, 75), ('Term', 53, 54), ('Term', 64, 65)}","['système de stockage à court terme', 'système multisources', 'générateur éolien']"
"['système', 'de', 'stockage', 'à', 'long', 'terme', '......................................................................................', '234', 'b', '.']","['BN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O']","{('Term', 0, 5)}",['système de stockage à long terme']
"['Association', ""d'"", 'un', 'générateur', 'éolien', ',', ""d'"", 'une', 'source', 'prévisible', ',', ""d'"", 'un', 'système', 'de']","['O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 3, 4)}",['générateur éolien']
"['stockage', 'à', 'court', 'terme', '(', '2', ')', '..................................................................................................', '239', 'c.', 'd.', 'e', '.']","['B-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 0, 3)}",['stockage à court terme']
"['Association', ""d'"", 'un', 'générateur', 'éolien', 'et', ""d'"", 'une', 'source', 'prévisible', '.................................', '245', 'Association', 'générateur', 'éolien', 'et', ""d'"", 'un', 'système', 'de', 'stockage', 'à', 'court', 'terme', '...............', '249', 'Association', ""d'"", 'un', 'générateur', 'éolien', ',', ""d'"", 'un', 'système', 'de', 'stockage', 'à', 'court', 'et', 'long', 'terme', '253', 'f', '.']","['O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'O', 'O', 'O', 'BN-Term', 'IN-Term', 'IN-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O']","{('Term', 18, 23), ('Term', 29, 30), ('Term', 13, 14), ('Term', 40, 41), ('Term', 3, 4), ('Term', 34, 38)}","['système de stockage à court terme', 'générateur éolien', 'générateur éolien', 'long terme', 'générateur éolien', 'système de stockage à court']"
"['Comparaison', '..............................................................................................................', '259']","['O', 'O', 'O']",set(),[]
['7'],['O'],set(),[]
"['Conclusion', 'générale', 'et', 'Perspectives', '.................................................................................', '263', 'Annexe', '1', ':', 'La', 'Représentation', 'Energétique', 'Macroscopique', '(', 'REM', ')', '.....................................', '280', 'Annexe', '2', ':', 'Le', 'Graphe', 'de', 'Commande', 'Etape', '-', 'Transition', ':', 'Grafcet', '......................................', '284', 'Annexe', '3', ':', 'Graphe', 'opérationnel', 'et', 'algorithme', 'floue', 'des', 'différents', 'cas', ""d'"", 'étude', '.....................', '287']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'I-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 29, 29), ('Term', 10, 12), ('Term', 22, 27), ('Term', 14, 14), ('Term', 35, 36)}","['Grafcet', 'Représentation Energétique Macroscopique', 'Graphe de Commande Etape - Transition', 'REM', 'Graphe opérationnel']"
['8'],['O'],set(),[]
"['Introduction', 'générale']","['O', 'O']",set(),[]
"['La', 'libéralisation', 'du', 'marché', 'de', ""l'"", 'électricité', 'et', 'le', 'développement', 'de', 'la', 'production', 'décentralisée', 'induisent', 'de', 'nombreux', 'problèmes', 'scientifiques', 'et', 'techniques', 'nouveaux', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 6, 6), ('Term', 20, 20), ('Term', 12, 13)}","['électricité', 'techniques', 'production décentralisée']"
"['Ces', 'problèmes', 'sont', 'liés', 'évidemment', 'aux', 'nouveaux', 'types', 'de', 'sources', ',', 'distribuées', 'géographiquement', 'et', 'se', 'développant', 'rapidement', ',', 'mais', 'ils', 'concerneront', 'également', ',', ""d'"", 'ici', 'quelques', 'années', ',', 'la', 'gestion', ',', 'voire', 'la', 'structure', 'des', 'réseaux', ""d'"", 'énergie', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'IN-Term', 'O']","{('Term', 35, 37)}","[""réseaux d' énergie""]"
"['Le', 'problème', 'majeur', 'associé', 'aux', 'sources', ""d'"", 'énergie', 'décentralisées', 'est', ""qu'"", 'elles', 'ne', 'participent', 'en', 'général', 'pas', 'aux', 'services', 'système', '(', 'réglage', 'tension', ',', 'fréquence', ',', 'îlotage', ',', '...', ')', '.']","['O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'B-Term', 'IN-Term', 'O', 'B-Term', 'O', 'B-Term', 'O', 'O', 'O', 'O']","{('Term', 26, 26), ('Term', 21, 22), ('Term', 18, 19), ('Term', 5, 7), ('Term', 24, 24)}","['îlotage', 'réglage tension', 'services système', ""sources d' énergie"", 'fréquence']"
"['Ceci', 'est', 'particulièrement', 'vrai', 'pour', 'les', 'sources', 'à', 'énergies', 'renouvelables', 'dont', 'la', 'source', 'primaire', 'est', 'difficilement', 'prévisible', 'et', 'très', 'fluctuante', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","{('Term', 6, 9), ('Term', 12, 13)}","['sources à énergies renouvelables', 'source primaire']"
"['Le', 'fait', 'de', 'ne', 'pas', 'participer', 'aux', 'services', 'système', 'amène', 'ce', 'type', 'de', 'source', 'à', 'se', 'comporter', 'comme', 'des', 'générateurs', 'passifs', 'du', 'point', 'de', 'vue', 'électrique', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'I-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'BN-Term', 'I-Term', 'O', 'O', 'O', 'O', 'B-Term', 'O']","{('Term', 19, 20), ('Term', 7, 8), ('Term', 25, 25)}","['générateurs passifs', 'services système', 'électrique']"
"['Le', 'réglage', 'de', 'la', 'tension', 'et', 'de', 'la', 'fréquence', 'est', 'dès', 'lors', 'reporté', 'sur', 'les', 'alternateurs', 'classiques', '.']","['O', 'BN-Term', 'IN-Term', 'IN-Term', 'IN-Term', 'O', 'O', 'O', 'B-Term', 'O', 'O', 'O', 'O', 'O', 'O', 'B-Term', 'O', 'O']","{('Term', 1, 4), ('Term', 15, 15), ('Term', 8, 8)}","['réglage de la tension', 'alternateurs', 'fréquence']"
